,,,! Stimulus file for rfremote.ASM,,,,,,,,,
,,,,,,,,,,,,
bit nr,data,delta time,STEP,RB7,RB6,RB5,RB4,RB3,RB2,RB1,RB0,! PortB Pins
,,,1,1,1,0,1,0,1,1,1,
,,99,100,1,1,1,1,1,1,1,1,
,,9000,9100,1,1,0,1,1,1,1,1,
,,4800,13900,1,1,1,1,1,1,1,1,
,,330,14230,1,1,0,1,1,1,1,1,
0,1,2000,16230,1,1,1,1,1,1,1,1,
,,330,16560,1,1,0,1,1,1,1,1,
1,0,800,17360,1,1,1,1,1,1,1,1,
,,330,17690,1,1,0,1,1,1,1,1,
2,0,800,18490,1,1,1,1,1,1,1,1,
,,330,18820,1,1,0,1,1,1,1,1,
3,0,800,19620,1,1,1,1,1,1,1,1,
,,330,19950,1,1,0,1,1,1,1,1,
4,0,800,20750,1,1,1,1,1,1,1,1,
,,330,21080,1,1,0,1,1,1,1,1,
5,0,800,21880,1,1,1,1,1,1,1,1,
,,330,22210,1,1,0,1,1,1,1,1,
6,0,800,23010,1,1,1,1,1,1,1,1,
,,330,23340,1,1,0,1,1,1,1,1,
7,0,800,24140,1,1,1,1,1,1,1,1,
,,330,24470,1,1,0,1,1,1,1,1,
0,0,800,25270,1,1,1,1,1,1,1,1,
,,330,25600,1,1,0,1,1,1,1,1,
1,1,2000,27600,1,1,1,1,1,1,1,1,
,,330,27930,1,1,0,1,1,1,1,1,
2,1,2000,29930,1,1,1,1,1,1,1,1,
,,330,30260,1,1,0,1,1,1,1,1,
3,1,2000,32260,1,1,1,1,1,1,1,1,
,,330,32590,1,1,0,1,1,1,1,1,
4,1,2000,34590,1,1,1,1,1,1,1,1,
,,330,34920,1,1,0,1,1,1,1,1,
5,1,2000,36920,1,1,1,1,1,1,1,1,
,,330,37250,1,1,0,1,1,1,1,1,
6,1,2000,39250,1,1,1,1,1,1,1,1,
,,330,39580,1,1,0,1,1,1,1,1,
7,1,2000,41580,1,1,1,1,1,1,1,1,
,,330,41910,1,1,0,1,1,1,1,1,
0,0,800,42710,1,1,1,1,1,1,1,1,
,,330,43040,1,1,0,1,1,1,1,1,
1,0,800,43840,1,1,1,1,1,1,1,1,
,,330,44170,1,1,0,1,1,1,1,1,
2,0,800,44970,1,1,1,1,1,1,1,1,
,,330,45300,1,1,0,1,1,1,1,1,
3,0,800,46100,1,1,1,1,1,1,1,1,
,,330,46430,1,1,0,1,1,1,1,1,
4,0,800,47230,1,1,1,1,1,1,1,1,
,,330,47560,1,1,0,1,1,1,1,1,
5,0,800,48360,1,1,1,1,1,1,1,1,
,,330,48690,1,1,0,1,1,1,1,1,
6,0,800,49490,1,1,1,1,1,1,1,1,
,,330,49820,1,1,0,1,1,1,1,1,
7,0,800,50620,1,1,1,1,1,1,1,1,
,,330,50950,1,1,0,1,1,1,1,1,
0,1,2000,52950,1,1,1,1,1,1,1,1,
,,330,53280,1,1,0,1,1,1,1,1,
1,1,2000,55280,1,1,1,1,1,1,1,1,
,,330,55610,1,1,0,1,1,1,1,1,
2,1,2000,57610,1,1,1,1,1,1,1,1,
,,330,57940,1,1,0,1,1,1,1,1,
3,1,2000,59940,1,1,1,1,1,1,1,1,
,,330,60270,1,1,0,1,1,1,1,1,
4,1,2000,62270,1,1,1,1,1,1,1,1,
,,330,62600,1,1,0,1,1,1,1,1,
5,1,2000,64600,1,1,1,1,1,1,1,1,
,,330,64930,1,1,0,1,1,1,1,1,
6,1,2000,66930,1,1,1,1,1,1,1,1,
,,330,67260,1,1,0,1,1,1,1,1,
7,1,2000,69260,1,1,1,1,1,1,1,1,
,,330,69590,1,1,0,1,1,1,1,1,